depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium,darkas
45.0,13.0,33.472,5.51,92.1,7.7,5.9,1.1,45,0.77,0.73,25.211,275.9,0.124,0.64,0.1
0.0,14.06,33.528,5.98,102.2,2.1,1.4,2.41,0,0.44,0.58,25.038,291.2,0.0,0.09,0.18
2.0,14.06,33.528,5.98,102.2,2.1,1.4,2.41,2,0.44,0.58,25.038,291.2,0.006,0.09,0.18
7.0,13.96,33.53,5.9,100.6,2.2,1.5,2.61,7,0.43,0.77,25.06,289.2,0.02,0.08,0.29
16.0,13.95,33.53,5.87,100.1,2.1,1.6,2.61,16,0.45,0.74,25.063,289.3,0.046,0.07,0.09
20.0,13.94,33.526,5.82,99.2,2.3,2.0,2.46,20,0.47,0.72,25.062,289.5,0.058,0.08,0.08
23.0,13.89,33.525,5.78,98.4,2.5,2.3,2.22,23,0.48,0.7,25.072,288.6,0.067,0.09,0.07
30.0,13.24,33.516,5.32,89.4,5.9,6.0,1.04,30,0.73,0.49,25.197,276.9,0.086,0.12,0.05
45.0,11.98,33.476,4.49,73.5,10.0,12.9,0.17,45,1.13,0.25,25.411,256.8,0.126,0.05,0.03
0.0,13.86,33.306,5.91,100.5,2.8,1.7,0.64,0,0.46,0.2,24.908,303.5,0.0,0.07,0.14
2.0,13.86,33.306,5.91,100.5,2.8,1.7,0.64,2,0.46,0.2,24.908,303.6,0.006,0.07,0.14
10.0,13.84,33.307,5.91,100.4,2.8,1.7,0.64,10,0.45,0.21,24.913,303.3,0.03,0.1,0.12
20.0,13.83,33.307,5.91,100.4,2.8,1.8,0.67,20,0.44,0.22,24.915,303.4,0.061,0.06,0.1
24.0,13.83,33.309,5.9,100.2,2.8,1.9,0.67,24,0.44,0.21,24.917,303.4,0.073,0.08,0.09
30.0,13.84,33.308,5.9,100.2,2.9,2.0,0.68,30,0.44,0.23,24.914,303.8,0.091,0.07,0.07
34.0,13.83,33.314,5.9,100.2,2.9,2.1,0.68,34,0.45,0.24,24.921,303.2,0.103,0.06,0.05
45.0,13.78,33.322,5.89,100.0,3.0,2.3,0.63,45,0.47,0.23,24.938,301.9,0.136,0.07,0.03
