depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium
99.0,13.31,33.153,5.83,97.9,2.8,1.6,0.14,99,0.47,0.11,24.904,306.6,0.318,0.12
100.0,13.24,33.162,5.83,97.7,2.9,1.7,0.14,100,0.48,0.11,24.925,304.6,0.321,0.12
119.0,12.67,33.231,5.66,93.8,4.5,4.7,0.09,120,0.61,0.1,25.091,289.2,0.377,0.0
125.0,12.66,33.282,5.54,91.8,5.2,5.9,0.07,126,0.68,0.09,25.133,285.4,0.394,0.0
140.0,11.65,33.339,5.13,83.2,7.6,9.5,0.04,141,0.9,0.07,25.368,263.2,0.435,0.0
150.0,11.13,33.499,4.8,77.1,10.1,12.3,0.03,151,1.07,0.06,25.587,242.5,0.461,0.0
169.0,10.35,33.594,4.09,64.6,15.8,17.9,0.01,170,1.4,0.04,25.798,222.6,0.505,0.0
199.0,9.36,33.875,2.93,45.4,26.1,25.3,0.0,200,1.9,0.05,26.183,186.4,0.566,0.0
0.0,13.69,33.045,5.98,101.1,2.5,0.1,0.25,0,0.36,0.06,24.741,319.4,0.0,0.11
2.0,13.69,33.045,5.98,101.1,2.5,0.1,0.25,2,0.36,0.06,24.741,319.5,0.006,0.11
9.0,13.69,33.045,5.99,101.3,2.5,0.1,0.27,9,0.36,0.07,24.741,319.7,0.029,0.09
10.0,13.69,33.04,5.99,101.3,2.5,0.1,0.27,10,0.36,0.08,24.737,320.1,0.032,0.09
20.0,13.69,33.045,5.99,101.3,2.4,0.1,0.31,20,0.36,0.12,24.741,319.9,0.064,0.09
30.0,13.69,33.046,5.99,101.3,2.3,0.1,0.31,30,0.36,0.05,24.743,320.1,0.096,0.09
40.0,13.7,33.047,6.0,101.5,2.3,0.1,0.3,40,0.36,0.09,24.742,320.5,0.128,0.09
50.0,13.7,33.051,5.98,101.1,2.1,0.1,0.32,50,0.36,0.07,24.745,320.4,0.16,0.09
60.0,13.69,33.052,5.98,101.1,2.1,0.1,0.35,60,0.34,0.12,24.748,320.4,0.192,0.09
70.0,13.65,33.096,5.9,99.7,2.2,0.5,0.32,70,0.4,0.14,24.791,316.7,0.224,0.19
